航班号,起飞时间,到达时间,出发机场,到达机场,航空公司,机型,价格
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
HO7683,2025-11-13 16:20:00,2025-11-13 18:35:00,大兴国际机场,虹桥国际机场,吉祥航空,空客350(大),
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),
MF8561,2025-11-13 09:25:00,2025-11-13 11:30:00,大兴国际机场,浦东国际机场,厦门航空,波音737(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
KN6526,2025-11-13 07:30:00,2025-11-13 09:45:00,大兴国际机场,浦东国际机场,中国联合航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MU5120,2025-11-13 17:00:00,2025-11-13 19:15:00,首都国际机场,虹桥国际机场,东方航空,空客330(大),
MU5127,2025-11-13 21:00:00,2025-11-13 23:15:00,虹桥国际机场,首都国际机场,东方航空,空客330(大),
HO5367,2025-11-13 14:00:00,2025-11-13 16:15:00,首都国际机场,虹桥国际机场,吉祥航空,空客330-300(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MF3536,2025-11-13 17:00:00,2025-11-13 19:15:00,首都国际机场,虹桥国际机场,厦门航空,空客330(大),
MU5127,2025-11-13 21:00:00,2025-11-13 23:15:00,虹桥国际机场,首都国际机场,东方航空,空客330(大),
CZ157,2025-11-13 11:55:00,2025-11-13 14:10:00,大兴国际机场,浦东国际机场,南方航空,空客321(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
SC5408,2025-11-13 12:30:00,2025-11-13 15:00:00,首都国际机场,虹桥国际机场,山东航空,波音777(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
